congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
116,Senate,67,2019-04-09,1,67,53,46,0.043,-0.103,-0.672,0.595,-0.181,PN258,Cloture Motion Agreed to,"Patrick R. Wyrick, of Oklahoma, to be United States District Judge for the Western District of Oklahoma",On the Cloture Motion,
116,Senate,68,2019-04-09,1,68,53,47,0.043,-0.103,-0.672,0.595,-0.181,PN258,Nomination Confirmed,"Patrick R. Wyrick, of Oklahoma, to be United States District Judge for the Western District of Oklahoma",On the Nomination,
116,Senate,69,2019-04-09,1,69,53,47,0.043,-0.103,-0.672,0.595,-0.181,PN179,Cloture Motion Agreed to,"Cheryl Marie Stanton, of South Carolina, to be Administrator of the Wage and Hour Division, Department of Labor",On the Cloture Motion,
116,Senate,70,2019-04-10,1,70,53,45,0.043,-0.101,-0.671,0.597,-0.181,PN179,Nomination Confirmed,"Cheryl Marie Stanton, of South Carolina, to be Administrator of the Wage and Hour Division, Department of Labor",On the Nomination,
116,Senate,71,2019-04-10,1,71,92,7,-0.43,-0.679,-0.68,-0.524,-6.379,PN103,Nomination Confirmed,"John P. Abizaid, of Nevada, to be Ambassador to the Kingdom of Saudi Arabia",On the Nomination,
116,Senate,72,2019-04-10,1,72,56,43,-0.108,0.021,-0.663,-0.615,-1.869,PN222,Cloture Motion Agreed to,"Holly A. Brady, of Indiana, to be United States District Judge for the Northern District of Indiana",On the Cloture Motion,
116,Senate,73,2019-04-10,1,73,56,42,-0.108,0.021,-0.663,-0.614,-1.869,PN222,Nomination Confirmed,"Holly A. Brady, of Indiana, to be United States District Judge for the Northern District of Indiana",On the Nomination,
116,Senate,74,2019-04-10,1,74,57,41,-0.146,0.062,-0.673,-0.548,-4.753,PN240,Cloture Motion Agreed to,"David Steven Morales, of Texas, to be United States District Judge for the Southern District of Texas",On the Cloture Motion,
116,Senate,75,2019-04-10,1,75,56,41,-0.145,0.057,-0.672,-0.557,-4.751,PN240,Nomination Confirmed,"David Steven Morales, of Texas, to be United States District Judge for the Southern District of Texas",On the Nomination,
116,Senate,76,2019-04-10,1,76,56,41,-0.073,-0.997,-0.518,-0.149,-8.561,PN503,Cloture Motion Agreed to,"David Bernhardt, of Virginia, to be Secretary of the Interior",On the Cloture Motion,
116,Senate,77,2019-04-11,1,77,56,41,-0.075,-0.997,-0.529,-0.148,-8.57,PN503,Nomination Confirmed,"David Bernhardt, of Virginia, to be Secretary of the Interior",On the Nomination,
116,Senate,78,2019-04-29,1,78,63,32,-0.253,-0.104,-0.7,0.291,-10.875,PN75,Cloture Motion Agreed to,"William Cooper, of Maryland, to be General Counsel of the Department of Energy",On the Cloture Motion,
